*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  9 15:25:56 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2011-Oct-04 00:00:00.0000 UT      
Stop  time      : A.D. 2011-Oct-06 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.181108.p190130                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-NOV-08. PREDICTS-> 2019-JAN-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
**************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff     R.A._(ICRF/J2K)_DEC Ang-diam Ob-lon Ob-lat Sl-lon Sl-lat   NP.ang   NP.dist            delta      deldot
**************************************************************************************************************************************
$$SOE
 2011-Oct-04 00:00:00.000      36.37424  12.86201 48.62214 171.56   3.89 177.00   3.45 340.2630     22.68 4.05464754291041 -12.0228317
 2011-Oct-04 00:05:00.000      36.37389  12.86189 48.62243 174.59   3.89 180.02   3.45 340.2629     22.68 4.05462343431883 -12.0212478
 2011-Oct-04 00:10:00.000      36.37354  12.86177 48.62272 177.61   3.89 183.04   3.45 340.2628     22.68 4.05459932890362 -12.0196638
 2011-Oct-04 00:15:00.000      36.37318  12.86164 48.62301 180.63   3.89 186.07   3.45 340.2627     22.68 4.05457522666514 -12.0180796
 2011-Oct-04 00:20:00.000      36.37283  12.86152 48.62329 183.66   3.89 189.09   3.45 340.2626     22.68 4.05455112760375 -12.0164952
 2011-Oct-04 00:25:00.000      36.37248  12.86140 48.62358 186.68   3.89 192.11   3.45 340.2625     22.68 4.05452703171981 -12.0149106
 2011-Oct-04 00:30:00.000      36.37212  12.86128 48.62387 189.70   3.89 195.13   3.45 340.2624     22.68 4.05450293901367 -12.0133259
 2011-Oct-04 00:35:00.000      36.37177  12.86115 48.62416 192.72   3.89 198.16   3.45 340.2623     22.68 4.05447884948568 -12.0117410
 2011-Oct-04 00:40:00.000      36.37141  12.86103 48.62445 195.75   3.89 201.18   3.45 340.2622     22.68 4.05445476313619 -12.0101559
 2011-Oct-04 00:45:00.000      36.37106  12.86091 48.62474 198.77   3.89 204.20   3.45 340.2621     22.68 4.05443067996555 -12.0085706
 2011-Oct-04 00:50:00.000      36.37071  12.86079 48.62503 201.79   3.89 207.22   3.45 340.2620     22.68 4.05440659997413 -12.0069852
 2011-Oct-04 00:55:00.000      36.37035  12.86066 48.62532 204.82   3.89 210.25   3.45 340.2619     22.68 4.05438252316225 -12.0053996
 2011-Oct-04 01:00:00.000      36.37000  12.86054 48.62561 207.84   3.89 213.27   3.45 340.2618     22.68 4.05435844953026 -12.0038138
 2011-Oct-04 01:05:00.000      36.36964  12.86042 48.62589 210.86   3.89 216.29   3.45 340.2617     22.68 4.05433437907852 -12.0022278
 2011-Oct-04 01:10:00.000      36.36929  12.86030 48.62618 213.89   3.89 219.31   3.45 340.2616     22.68 4.05431031180736 -12.0006417
 2011-Oct-04 01:15:00.000      36.36893  12.86017 48.62647 216.91   3.89 222.34   3.45 340.2615     22.68 4.05428624771713 -11.9990554
 2011-Oct-04 01:20:00.000      36.36858  12.86005 48.62676 219.93   3.89 225.36   3.45 340.2614     22.68 4.05426218680817 -11.9974689
 2011-Oct-04 01:25:00.000      36.36823  12.85993 48.62705 222.96   3.89 228.38   3.45 340.2613     22.68 4.05423812908082 -11.9958823
 2011-Oct-04 01:30:00.000      36.36787  12.85981 48.62734 225.98   3.89 231.40   3.45 340.2612     22.68 4.05421407453541 -11.9942955
 2011-Oct-04 01:35:00.000      36.36752  12.85968 48.62763 229.00   3.89 234.43   3.45 340.2611     22.68 4.05419002317228 -11.9927085
 2011-Oct-04 01:40:00.000      36.36716  12.85956 48.62791 232.03   3.89 237.45   3.45 340.2610     22.68 4.05416597499176 -11.9911214
 2011-Oct-04 01:45:00.000      36.36681  12.85944 48.62820 235.05   3.89 240.47   3.45 340.2609     22.68 4.05414192999420 -11.9895341
 2011-Oct-04 01:50:00.000      36.36645  12.85932 48.62849 238.07   3.89 243.49   3.45 340.2608     22.68 4.05411788817991 -11.9879466
 2011-Oct-04 01:55:00.000      36.36610  12.85919 48.62878 241.10   3.89 246.52   3.45 340.2607     22.68 4.05409384954923 -11.9863590
 2011-Oct-04 02:00:00.000      36.36575  12.85907 48.62907 244.12   3.89 249.54   3.45 340.2606     22.68 4.05406981410249 -11.9847712
 2011-Oct-04 02:05:00.000      36.36539  12.85895 48.62936 247.14   3.89 252.56   3.45 340.2605     22.68 4.05404578184001 -11.9831832
 2011-Oct-04 02:10:00.000      36.36504  12.85882 48.62964 250.17   3.89 255.58   3.45 340.2604     22.69 4.05402175276212 -11.9815951
 2011-Oct-04 02:15:00.000      36.36468  12.85870 48.62993 253.19   3.89 258.61   3.45 340.2603     22.69 4.05399772686914 -11.9800068
 2011-Oct-04 02:20:00.000      36.36433  12.85858 48.63022 256.21   3.89 261.63   3.45 340.2602     22.69 4.05397370416138 -11.9784184
 2011-Oct-04 02:25:00.000      36.36397  12.85846 48.63051 259.23   3.89 264.65   3.45 340.2601     22.69 4.05394968463918 -11.9768298
 2011-Oct-04 02:30:00.000      36.36362  12.85833 48.63080 262.26   3.89 267.67   3.45 340.2600     22.69 4.05392566830284 -11.9752410
 2011-Oct-04 02:35:00.000      36.36326  12.85821 48.63108 265.28   3.89 270.70   3.45 340.2599     22.69 4.05390165515268 -11.9736521
 2011-Oct-04 02:40:00.000      36.36291  12.85809 48.63137 268.30   3.89 273.72   3.45 340.2598     22.69 4.05387764518902 -11.9720630
 2011-Oct-04 02:45:00.000      36.36255  12.85797 48.63166 271.33   3.89 276.74   3.45 340.2597     22.69 4.05385363841216 -11.9704738
 2011-Oct-04 02:50:00.000      36.36220  12.85784 48.63195 274.35   3.89 279.76   3.45 340.2596     22.69 4.05382963482241 -11.9688845
 2011-Oct-04 02:55:00.000      36.36184  12.85772 48.63224 277.37   3.89 282.79   3.45 340.2595     22.69 4.05380563442008 -11.9672949
 2011-Oct-04 03:00:00.000      36.36149  12.85760 48.63252 280.40   3.89 285.81   3.45 340.2594     22.69 4.05378163720548 -11.9657052
 2011-Oct-04 03:05:00.000      36.36113  12.85747 48.63281 283.42   3.89 288.83   3.45 340.2593     22.69 4.05375764317890 -11.9641154
 2011-Oct-04 03:10:00.000      36.36078  12.85735 48.63310 286.44   3.89 291.85   3.45 340.2592     22.69 4.05373365234066 -11.9625254
 2011-Oct-04 03:15:00.000      36.36043  12.85723 48.63339 289.47   3.89 294.88   3.45 340.2591     22.69 4.05370966469104 -11.9609353
 2011-Oct-04 03:20:00.000      36.36007  12.85711 48.63368 292.49   3.89 297.90   3.45 340.2590     22.69 4.05368568023034 -11.9593450
 2011-Oct-04 03:25:00.000      36.35972  12.85698 48.63396 295.51   3.89 300.92   3.45 340.2589     22.69 4.05366169895887 -11.9577546
 2011-Oct-04 03:30:00.000      36.35936  12.85686 48.63425 298.54   3.89 303.94   3.45 340.2588     22.69 4.05363772087690 -11.9561640
 2011-Oct-04 03:35:00.000      36.35901  12.85674 48.63454 301.56   3.89 306.97   3.45 340.2587     22.69 4.05361374598474 -11.9545733
 2011-Oct-04 03:40:00.000      36.35865  12.85662 48.63483 304.58   3.89 309.99   3.45 340.2585     22.69 4.05358977428266 -11.9529825
 2011-Oct-04 03:45:00.000      36.35830  12.85649 48.63511 307.61   3.89 313.01   3.45 340.2584     22.69 4.05356580577096 -11.9513915
 2011-Oct-04 03:50:00.000      36.35794  12.85637 48.63540 310.63   3.89 316.03   3.45 340.2583     22.69 4.05354184044991 -11.9498003
 2011-Oct-04 03:55:00.000      36.35759  12.85625 48.63569 313.65   3.89 319.06   3.45 340.2582     22.69 4.05351787831981 -11.9482091
 2011-Oct-04 04:00:00.000      36.35723  12.85612 48.63598 316.68   3.89 322.08   3.45 340.2581     22.69 4.05349391938091 -11.9466177
 2011-Oct-04 04:05:00.000      36.35688  12.85600 48.63626 319.70   3.89 325.10   3.45 340.2580     22.69 4.05346996363351 -11.9450261
 2011-Oct-04 04:10:00.000      36.35652  12.85588 48.63655 322.72   3.89 328.12   3.45 340.2579     22.69 4.05344601107788 -11.9434344
 2011-Oct-04 04:15:00.000      36.35616  12.85576 48.63684 325.74   3.89 331.15   3.45 340.2578     22.69 4.05342206171429 -11.9418426
